Number,Name,Address,Latitude,Longitude
2,Art Building &amp; Art Museum,1031 N Olive Rd,32.2338336,-110.955068
2A,Art Building Addition,1031 N Olive Rd,32.2338336,-110.955068
3,Drama,1025 N Olive Rd,32.2352758,-110.9563672
3A,Drama Addition,1025 N Olive Rd,32.2352758,-110.9563672
4,Fred Fox School of Music,1017 N Olive Rd,32.2348661,-110.954792
4A,Fred Fox School of Music Addition,1017 N Olive Rd,32.2348661,-110.954792
5,Coconino Residence Hall,1003 N Olive Rd,32.234184,-110.9554014
6,Slonaker House,1027 E 2 St,32.2341148,-110.9559923
7,Manzanita Residence Hall,1010 N Park Ave,32.2343564,-110.9565447
7A,Mohave Residence Hall,1000 N Park Ave,32.2343173,-110.9563602
8,Gila Residence Hall,1009 E James E Rogers Way,32.2329727,-110.954714
9,Maricopa Residence Hall,1031 E James E Rogers Way,32.2329727,-110.954714
10,Yuma Residence Hall,1107 E James E Rogers Way,32.2329727,-110.954714
11,John W. Harshbarger Building,1133 E James E Rogers Way,32.2329727,-110.954714
12,Mines And Metallurgy,1235 E James E Rogers Way,32.2329727,-110.954714
14,Transitional Office Building,1731 E 2 St,32.2340446,-110.9459266
17,Student Union Memorial Center,1303 E University Blvd,32.2325991,-110.9519852
19,Student Union Memorial Center - Campus Store,1209 E University Blvd,32.2329695,-110.9522643
20,Engineering,1127 E James E Rogers Way,32.2329727,-110.954714
21,Old Main,1200 E University Blvd,32.2318891,-110.9534867
23,Cesar E. Chavez Building,1110 E James E Rogers Way,32.2329727,-110.954714
24,Center For English As A Second Language,1100 E James E Rogers Way,32.2329727,-110.954714
25,Communication,1103 E University Blvd,32.2323206,-110.9546935
26,Raymond H Thompson Building,1013 E University Blvd,32.23243,-110.9556832
27,Social Sciences,1145 E South Campus Dr,32.2311227,-110.9540918
28,Douglass,1100 E University Blvd,32.2313925,-110.9547294
29,Centennial Hall,1020 E University Blvd,32.2309508,-110.9554234
30,Arizona State Museum South,1010 E University Blvd,32.2314008,-110.9562044
30A,Emil W. Haury Anthropology Building,1009 E South Campus Dr,32.2307913,-110.9560429
31,Cochise Residence Hall,1018 E South Campus Dr,32.2304278,-110.9557721
32,South Hall,1042 E South Campus Dr,32.2305297,-110.9551637
33,Saguaro Hall,1110 E South Campus Dr,32.2304911,-110.9544215
34,Yavapai Residence Hall,1121 E 4 St,32.230522,-110.9538711
35,Herring Hall,1130 E South Campus Dr,32.2306719,-110.953622
36,Forbes,1140 E South Campus Dr,32.2309686,-110.9534181
37,Carl S. Marvel Laboratories Of Chemistry,1230 E University Blvd,32.2314818,-110.9514735
38,Shantz,1177 E 4 St,32.2302945,-110.9526907
40,Robert L. Nugent Building,1212 E University Blvd,32.2313114,-110.9526788
41,Chemistry,1306 E University Blvd,32.231055,-110.952129
41A,The Commons,1306 E University Blvd,32.231055,-110.952129
43,Biological Sciences East,1311 E 4 St,32.2303046,-110.9514565
44,Chemical Sciences Building,1305 E 4 St,32.2308212,-110.952054
45,Tree Ring Archives,604 N Santa Rita Ave,32.2291638,-110.9525908
45A,Tree Ring Shop,604 N Santa Rita Ave,32.2291638,-110.9525908
45B,Bryant Bannister Tree Ring Building,1215 E Lowell St,32.2290069,-110.9524971
46,Central Heating And Refrigeration Plant,640 N Santa Rita Ave,32.2298646,-110.9523042
46B,Electrical Services Annex,630 N Santa Rita Ave,32.229514,-110.9519198
50,Santa Cruz Residence Hall,550 N Highland Ave,32.228888,-110.9505355
50A,Apache Residence Hall,570 N Highland Ave,32.2286849,-110.9503357
50B,Apache Nonresidential,570 N Highland Ave,32.2286849,-110.9503357
52,Greenlee Residence Hall,610 N Highland Ave,32.2298516,-110.950521
53,Graham Residence Hall,1418 E 4 St,32.2302068,-110.9505178
54,Albert B. Weaver Science-Engineering Library,744 N Highland Ave,32.2311137,-110.9506548
55,Main Library,1510 E University Blvd,32.2309343,-110.9491088
55A,Main Library Expansion,1510 E University Blvd,32.2309343,-110.9491088
56,Bear Down Building,1428 E University Blvd,32.2311778,-110.9500772
56A,Bartlett Academic Success Center,1435 E 4 St,32.2306858,-110.9502326
57,Hopi Lodge Residence Hall,1440 E 4 St,32.2302399,-110.9499577
58,West Stadium,530 N Vine Ave,32.2287018,-110.9494673
58A,Arizona Stadium,540 N Vine Ave,32.2264767,-110.9495302
58B,Scholarship Suites,553 N Vine Ave,32.2264767,-110.9495302
58E,Lowell-Stevens Football Facility,565 N Cherry Ave,32.2294971,-110.9488341
58F,Arizona East Stadium II,541 N Cherry Ave,32.2288398,-110.9482879
59,Pinal Residence Hall,1511 E 6 St,32.2279887,-110.9491988
59A,Pinal Hall Nonresidential,1511 E 6 St,32.2279887,-110.9491988
60,Navajo Residence Hall,1557 E 6 St,32.2279254,-110.9491619
60A,Navajo Hall Nonresidential,1557 E 6 St,32.2279254,-110.9491619
61,Arizona East Stadium I,541 N Cherry Ave,32.2288398,-110.9482879
61A,East Stadium Addition,525 N National Championship Dr,32.2286626,-110.9477853
61B,Richard F Caris Mirror Lab,527 N National Championship Dr,32.2286125,-110.9474354
61C,Richard F Caris Mirror Lab,527 N National Championship Dr,32.2286125,-110.9474354
61E,Richard F Caris Mirror Lab,527 N National Championship Dr,32.2286125,-110.9474354
61F,Richard F Caris Mirror Lab,527 N National Championship Dr,32.2286125,-110.9474354
62B,Custodial,1722 E Enke Dr,32.22931,-110.9454828
62D,Facilities Management Ag Equipment,1783 E 6 St,32.2281763,-110.9457711
62E,Facilities Management Grounds Offices,1783 E 6 St,32.2281763,-110.9457711
63,Charles P. Sonett Space Sciences Building,1541 E University Blvd,32.2322985,-110.9485364
63A,Charles P. Sonett Space Sciences Building Addition,1541 E University Blvd,32.2322985,-110.9485364
64,Steward Observatory Annex,1540 E 2 St,32.2335345,-110.9485826
64A,Steward Observatory Temporary Modular Building,1540 E 2 St,32.2335345,-110.9485826
65,Steward Observatory,933 N Cherry Ave,32.2330649,-110.9483112
65A,Steward Observatory Addition,933 N Cherry Ave,32.2330649,-110.9483112
65B,Steward Observatory Expansion,933 N Cherry Ave,32.2330649,-110.9483112
65C,Steward Observatory Exp I,933 N Cherry Ave,32.2330649,-110.9483112
66,Administration,1401 E University Blvd,32.2327247,-110.9508944
67,Modern Languages,1423 E University Blvd,32.2324196,-110.9502408
68,Psychology,1503 E University Blvd,32.2318855,-110.9491151
69,Education,1430 E 2 St,32.233596,-110.9499606
70,Manuel Pacheco Integrated Learning Center,1500 E University Blvd,32.2316357,-110.9493263
71,Speech and Hearing Sciences,1131 E 2 St,32.234144,-110.9537601
72,Civil Engineering,1209 E 2 St,32.2343006,-110.9531003
73,Computer Center,1077 N Highland Ave,32.2356986,-110.9517785
73A,Computer Center Addition,1077 N Highland Ave,32.2356986,-110.9517785
74,SBS 1st Street Annex,1515 E 1 St,32.235105,-110.9486774
75,"College Of Architecture, Planning, And Landscape Architecture - West",1040 N Olive Rd,32.2354021,-110.9549829
75A,"College Of Architecture, Planning, And Landscape Architecture - East",1160 E Speedway Blvd,32.2348661,-110.954792
76,Richard A. Harvill Building,1103 E 2 St,32.2343702,-110.9544039
77,Gould-Simpson,1040 E 4 St,32.2297355,-110.9548634
